Class,.id,SYMBOL,Process.category,Description,释义,Number.of.founder.sets,Number.of.genes
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2ac20,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2ac13,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2aw,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2aj,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2ac24,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2ac18,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2ac19,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2ac1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2ac6,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2ac7,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2ac8,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2ac11,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2ac12,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2ac15,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2ac22,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2ac23,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2ac4,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2az1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,H2az2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Hells,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Hmga1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Hmga1b,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Hmga2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Hmgb2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Hmgb3,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Gm6104,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Hmmr,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Shtn1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Hnrnpd,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Hus1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Hus1b,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Ilf3,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Strbp,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Ing3,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Ipo7,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Ipo8,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Jpt1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Kif18b,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Kif22,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Kif2c,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Kif2a,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Kif4,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Kpna2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Gm10184,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Lbr,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Lig1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Lmnb1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Lmnb2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Lmna,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Luc7l3,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Lyar,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Mad2l1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Mcm2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Mcm3,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Mcm4,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Mcm5,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Mcm6,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Mcm7,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Melk,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Mki67,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Mlh1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Mms22l,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Mre11a,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Msh2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Mthfd2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Mxd3,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Mybl2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Mybl1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Myc,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Bmyc,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Naa38,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Nap1l1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Nasp,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Nbn,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Ncapd2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Nme1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Nolc1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Nop56,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Nudt21,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Nup107,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Nup153,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Nup205,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Orc2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Orc6,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pa2g4,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Paics,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pan2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pcna,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pcna-ps2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pds5b,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pds5a,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Phf5a,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Plk1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Plk4,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pms2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pnn,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pola2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pold1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pold2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pold3,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pole,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pole4,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pop7,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Ppm1d,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Ppp1r8,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Prdx4,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Prim2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Prkdc,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Prps1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Prps1l3,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Prps1l1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Prps2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Psip1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Psmc3ip,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Pttg1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Racgap1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rad1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rad21,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rad50,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rad51ap1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rad51c,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Ran,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rasl2-9,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,1700009N14Rik,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Ranbp1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rbbp7,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rbbp4,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rfc1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rfc2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rfc3,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rnaseh2a,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rpa1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rpa2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rpa3,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rrm2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Rrm2b,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Shmt1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Shmt2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Slbp,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Smc1a,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Smc1b,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Smc3,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Smc4,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Smc6,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Snrpb,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Snrpn,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Spag5,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Spc24,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Spc25,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Srsf1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Srsf2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,4930595M18Rik,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Ssrp1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Stag1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Stag2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Stag3,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Stmn1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Suv39h1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Syncrip,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Hnrnpr,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tacc3,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tbrg4,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tcf19,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tfrc,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Timeless,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tipin,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tk1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tmpo,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Top2a,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Trp53,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tra2b,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Trip13,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tubb5,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tubb3,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tubb1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tubb4a,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tubb2a,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tubb6,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tubb4b,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tubb2b,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tubg1,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Tubg2,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
E2F_TARGETS,HALLMARK_E2F_TARGETS,Ube2s,Proliferation,E2F targets,参与哺乳动物细胞中DNA的细胞周期调控和合成,420,200
