Class,.id,SYMBOL,Process.category,Description,释义,Number.of.founder.sets,Number.of.genes
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Bckdha,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Bcl2l13,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Bcl6,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,C3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,C4b,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Hc,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cat,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cavin1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cavin2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cavin3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Ccng2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cd151,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Tspan11,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cd302,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cd36,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cdkn2c,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Chchd10,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Chuk,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Ikbkb,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cidea,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cidec,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cmbl,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cmpk1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col15a1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col18a1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col4a1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col4a4,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col4a3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col16a1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col5a3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col24a1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col4a6,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col27a1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col2a1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col3a1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col4a2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col4a5,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col5a1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col5a2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col7a1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col1a1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Col1a2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Coq3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Coq5,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Coq9,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cox6a1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cox7b,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cox7b2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cox8a,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cpt2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Crat,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Chat,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cs,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Csl,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cyc1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cyp4b1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cyp4a14,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cyp4x1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cyp4a31,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cyp4a12b,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cyp4a29,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cyp4a30b,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cyp4a32,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cyp4a10,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Cyp4a12a,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Dbt,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Ddt,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Decr1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Dgat1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Dhcr7,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Dhrs7,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Gm4756,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Dhrs7b,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Dlat,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Dld,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Dnajb9,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Dnajc15,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Dram2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Ech1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Echs1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Elmod3,Development,Adipocyte development,脂肪细胞的发育,36,200
